stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
P-121,,,-22.4434308,-68.9051996,,,,,,0
P-122,,,-22.4431218,-68.9053295,,,,,,0
P-123,,,-22.4419684,-68.9065955,,,,,,0
P-124,,,-22.4420786,-68.9066283,,,,,,0
P-125,,,-22.4406120,-68.9082578,,,,,,0
P-126,,,-22.4402049,-68.9085444,,,,,,0
P-127,,,-22.4391837,-68.9098124,,,,,,0
P-128,,,-22.4385102,-68.9104106,,,,,,0
P-129,,,-22.4370356,-68.9119393,,,,,,0
P-131,,,-22.4352974,-68.9134498,,,,,,0
P-132,,,-22.4347676,-68.9148055,,,,,,0
P-133,,,-22.4348816,-68.9148608,,,,,,0
P-134,,,-22.4350414,-68.9168256,,,,,,0
P-139,,,-22.4389368,-68.9296518,,,,,,0
P-140,,,-22.4392848,-68.9275911,,,,,,0
P-141,,,-22.4414061,-68.9269857,,,,,,0
P-147,,,-22.4473640,-68.9197258,,,,,,0
P-148,,,-22.4483967,-68.9200282,,,,,,0
P-150,,,-22.4494777,-68.9203366,,,,,,0
P-151,,,-22.4485918,-68.9202575,,,,,,0
P-155,,,-22.4529194,-68.9213416,,,,,,0
P-156,,,-22.4536310,-68.9217478,,,,,,0
P-157,,,-22.4540983,-68.9226028,,,,,,0
P-158,,,-22.4538274,-68.9234746,,,,,,0
P-161,,,-22.4585380,-68.9247825,,,,,,0
P-162,,,-22.4589731,-68.9255859,,,,,,0
P-163,,,-22.4601712,-68.9283997,,,,,,0
P-164,,,-22.4618424,-68.9279644,,,,,,0
P-166,,,-22.4666275,-68.9272731,,,,,,0
P-169,,,-22.4702655,-68.9306095,,,,,,0
P-172,,,-22.4623199,-68.9256094,,,,,,0
P-173,,,-22.4600162,-68.9258404,,,,,,0
P-174,,,-22.4585156,-68.9259856,,,,,,0
P-175,,,-22.4577235,-68.9260117,,,,,,0
P-176,,,-22.4358454,-68.9205890,,,,,,0
P-177,,,-22.4382364,-68.9209263,,,,,,0
P-180,,,-22.4469774,-68.9326363,,,,,,0
P-181,,,-22.4502022,-68.9332830,,,,,,0
P-182,,,-22.4521891,-68.9337001,,,,,,0
P-183,,,-22.4578060,-68.9329725,,,,,,0
P-184,,,-22.4590875,-68.9247700,,,,,,0
P-185,,,-22.4600275,-68.9247051,,,,,,0
P-186,,,-22.4623587,-68.9245493,,,,,,0
P-187,,,-22.4632198,-68.9250746,,,,,,0
P-189,,,-22.4709274,-68.9267393,,,,,,0
P-190,,,-22.4723244,-68.9272049,,,,,,0
P-191,,,-22.4753310,-68.9287129,,,,,,0
P-192,,,-22.4751832,-68.9334989,,,,,,0
P-193,,,-22.4770158,-68.9334118,,,,,,0
P-194,,,-22.4807620,-68.9322039,,,,,,0
P-196,,,-22.4573688,-68.9283681,,,,,,0
P-198,,,-22.4534581,-68.9336438,,,,,,0
P-199,,,-22.4493531,-68.9329573,,,,,,0
P-200,,,-22.4388271,-68.9304009,,,,,,0
P-206,,,-22.4474639,-68.9282033,,,,,,0
P-207,,,-22.4485406,-68.9284432,,,,,,0
P-209,,,-22.4516327,-68.9290626,,,,,,0
P-210,,,-22.4523948,-68.9292104,,,,,,0
P-212,,,-22.4538671,-68.9293760,,,,,,0
P-214,,,-22.4550813,-68.9293770,,,,,,0
P-216,,,-22.4793324,-68.9293992,,,,,,0
P-217,,,-22.4780569,-68.9289611,,,,,,0
P-220,,,-22.4516930,-68.9289008,,,,,,0
P-221,,,-22.4497567,-68.9285068,,,,,,0
P-222,,,-22.4470858,-68.9279504,,,,,,0
P-223,,,-22.4384732,-68.9241101,,,,,,0
P-225,,,-22.4749361,-68.9357763,,,,,,0
P-226,,,-22.4806041,-68.9338720,,,,,,0
P-227,,,-22.4758417,-68.9353840,,,,,,0
P-228,,,-22.4726499,-68.9363449,,,,,,0
P-229,,,-22.4611416,-68.9332024,,,,,,0
P-230,,,-22.4610015,-68.9305225,,,,,,0
P-231,,,-22.4609296,-68.9284753,,,,,,0
P-232,,,-22.4340919,-68.9174686,,,,,,0
P-236,,,-22.4583071,-68.9233781,,,,,,0
P-238,,,-22.4776147,-68.9259757,,,,,,0
P-239,,,-22.4770366,-68.9279664,,,,,,0
P-244,,,-22.4848191,-68.9158220,,,,,,0
P-249,,,-22.4802832,-68.9104763,,,,,,0
P-250,,,-22.4818509,-68.9123508,,,,,,0
P-251,,,-22.4831549,-68.9140986,,,,,,0
P-252,,,-22.4838946,-68.9149521,,,,,,0
P-253,,,-22.4851249,-68.9163651,,,,,,0
P-254,,,-22.4860489,-68.9182354,,,,,,0
P-255,,,-22.4873195,-68.9197245,,,,,,0
P-256,,,-22.4887877,-68.9204195,,,,,,0
P-258,,,-22.4479906,-68.9292955,,,,,,0
P-259,,,-22.4483279,-68.9376180,,,,,,0
P-260,,,-22.4542686,-68.9384782,,,,,,0
P-261,,,-22.4547912,-68.9434825,,,,,,0
P-262,,,-22.4567276,-68.9402824,,,,,,0
P-263,,,-22.4595556,-68.9400941,,,,,,0
P-264,,,-22.4619848,-68.9399605,,,,,,0
P-265,,,-22.4636415,-68.9398464,,,,,,0
P-266,,,-22.4656183,-68.9397680,,,,,,0
P-269,,,-22.4607097,-68.9250511,,,,,,0
P-270,,,-22.4593259,-68.9226270,,,,,,0
P-271,,,-22.4632963,-68.9279354,,,,,,0
P-272,,,-22.4641602,-68.9306224,,,,,,0
P-273,,,-22.4662199,-68.9396213,,,,,,0
P-274,,,-22.4599835,-68.9399937,,,,,,0
P-275,,,-22.4574076,-68.9401627,,,,,,0
P-276,,,-22.4542501,-68.9383615,,,,,,0
P-277,,,-22.4513902,-68.9381164,,,,,,0
P-278,,,-22.4476523,-68.9373745,,,,,,0
P-279,,,-22.4425533,-68.9336069,,,,,,0
P-281,,,-22.4527550,-68.9287291,,,,,,0
P-282,,,-22.4530863,-68.9324039,,,,,,0
P-283,,,-22.4587823,-68.9437196,,,,,,0
P-284,,,-22.4620000,-68.9435379,,,,,,0
P-285,,,-22.4629704,-68.9414334,,,,,,0
P-286,,,-22.4628701,-68.9369384,,,,,,0
P-287,,,-22.4553052,-68.9177116,,,,,,0
P-288,,,-22.4536118,-68.9141065,,,,,,0
P-289,,,-22.4520444,-68.9134666,,,,,,0
P-290,,,-22.4509110,-68.9142575,,,,,,0
P-292,,,-22.4563484,-68.9188919,,,,,,0
P-293,,,-22.4568638,-68.9200681,,,,,,0
P-294,,,-22.4627288,-68.9351100,,,,,,0
P-296,,,-22.4532798,-68.9319179,,,,,,0
P-297,,,-22.4385393,-68.9320508,,,,,,0
P-299,,,-22.4796451,-68.9122330,,,,,,0
P-300,,,-22.4639699,-68.9077447,,,,,,0
P-302,,,-22.4427829,-68.9327466,,,,,,0
P-303,,,-22.4341360,-68.9255291,,,,,,0
P-305,,,-22.4543602,-68.9464535,,,,,,0
P-306,,,-22.4569873,-68.9462436,,,,,,0
P-307,,,-22.4628206,-68.9344544,,,,,,0
P-308,,,-22.4625560,-68.9334248,,,,,,0
P-311,,,-22.4547756,-68.9356936,,,,,,0
P-312,,,-22.4546491,-68.9380833,,,,,,0
P-317,,,-22.4511038,-68.9165708,,,,,,0
PR-130,,,-22.4355534,-68.9133555,,,,,,0
PR-135,,,-22.4346174,-68.9190460,,,,,,0
PR-136,,,-22.4343527,-68.9205786,,,,,,0
PR-138,,,-22.4334332,-68.9249507,,,,,,0
PR-142,,,-22.4421289,-68.9269304,,,,,,0
PR-143,,,-22.4432448,-68.9271548,,,,,,0
PR-144,,,-22.4430226,-68.9273296,,,,,,0
PR-146,,,-22.4447541,-68.9274442,,,,,,0
PR-149,,,-22.4489733,-68.9201690,,,,,,0
PR-152,,,-22.4505006,-68.9208024,,,,,,0
PR-153,,,-22.4505350,-68.9206258,,,,,,0
PR-154,,,-22.4519866,-68.9212326,,,,,,0
PR-159,,,-22.4535649,-68.9247043,,,,,,0
PR-160,,,-22.4538004,-68.9244456,,,,,,0
PR-165,,,-22.4651749,-68.9276166,,,,,,0
PR-167,,,-22.4685746,-68.9266875,,,,,,0
PR-168,,,-22.4703277,-68.9295379,,,,,,0
PR-170,,,-22.4655475,-68.9253481,,,,,,0
PR-171,,,-22.4637493,-68.9253849,,,,,,0
PR-178,,,-22.4384899,-68.9246300,,,,,,0
PR-179,,,-22.4388218,-68.9264834,,,,,,0
PR-188,,,-22.4703320,-68.9265634,,,,,,0
PR-195,,,-22.4723458,-68.9270329,,,,,,0
PR-208,,,-22.4499452,-68.9287215,,,,,,0
PR-215,,,-22.4782845,-68.9292222,,,,,,0
PR-218,,,-22.4753164,-68.9280313,,,,,,0
PR-224,,,-22.4378157,-68.9240671,,,,,,0
PR-234,,,-22.4405318,-68.9211086,,,,,,0
PR-235,,,-22.4565106,-68.9225404,,,,,,0
PR-237,,,-22.4635074,-68.9244921,,,,,,0
PR-240,,,-22.4898458,-68.9237792,,,,,,0
PR-241,,,-22.4897250,-68.9204133,,,,,,0
PR-242,,,-22.4876275,-68.9199392,,,,,,0
PR-243,,,-22.4856206,-68.9176126,,,,,,0
PR-245,,,-22.4841178,-68.9150672,,,,,,0
PR-246,,,-22.4828808,-68.9136464,,,,,,0
PR-247,,,-22.4806759,-68.9113354,,,,,,0
PR-257,,,-22.4897683,-68.9237090,,,,,,0
PR-267,,,-22.4607314,-68.9253998,,,,,,0
PR-280,,,-22.4450101,-68.9377509,,,,,,0
PR-291,,,-22.4453463,-68.9132324,,,,,,0
PR-304,,,-22.4356668,-68.9258446,,,,,,0
PR-309,,,-22.4455557,-68.9377255,,,,,,0
